old_nid,status,title,year,tier,order,link,logo,description
489,1,Liip,2025,Gold,1,https://www.liip.ch,Liip_Logo_0.png,
491,1,Agiledrop,2025,Gold,1,https://www.agiledrop.com/,agiledrop_logo_tagline_0.png,
495,1,amazee.io – Your Managed Drupal Hosting Platform for Enterprises,2025,Gold,1,https://www.amazee.io/,amazee-io-Logo-Black-White-IO.png,"amazee.io provides open source website hosting solutions designed to meet the unique needs of large enterprises. Our PaaS solutions ensure efficiency, flexibility, resilience, and scalability without compromising data sovereignty and security. As your global Concierge Service Provider, we build solid partnerships focused on trusted, human-centered, long-term collaborations."
499,1,Varnish,2025,Gold,1,https://www.varnish-software.com/,Varnish Software Logo Blue and Black_rgb (5).png,
469,1,The Drop Times - 2024,2025,Media partner,1,https://www.thedroptimes.com/,droptimes-logo.png,
488,1,The Drop Times,2025,Media partner,1,https://www.thedroptimes.com/,droptimes-logo (1).png,
492,1,Hostpoint,2025,Silver,1,https://www.hostpoint.ch/,hostpoint-logo-blue_1.png,
493,1,MD Systems,2025,Silver,1,https://www.md-systems.ch/en,mds-logo-plain_0.png,
496,1,Happy Coding,2025,Silver,1,https://www.happycoding.ch/,logo-happy-coding-drupal-specialists-geneva.png,
502,1,soul.media,2025,Silver,1,https://www.soul.media/en,soulmedia_logo.png,
494,1,IQUAL,2025,Social Event Sponsor,1,https://www.iqual.ch/de/webagentur-webentwicklung,Logo-Iqual-Orange-2017.png,
498,1,Tag1 Consulting,2025,Social Event Sponsor,1,https://www.tag1consulting.com/,tag1_blk-blu320p-trimmed.png,
503,1,Amazee Labs AG,2025,Social Event Sponsor,1,https://www.amazeelabs.com/,amazee.png,
463,1,Platform.sh,2024,Diamond,1,https://platform.sh,platformsh-logo_0.png,
464,1,Liip - 2024,2024,Gold,1,https://www.liip.ch,Liip_Logo.png,
476,1,dropsolid,2024,Gold,1,https://dropsolid.io/,dropsolid-logo.png,
478,1,Acquia,2024,Gold,1,https://www.acquia.com,acquia-logo.png,
471,1,SwissDevJobs,2024,Media partner,1,https://swissdevjobs.ch/,swissdevjobs-logo.png,
477,1,TheWeeklyDrop,2024,Media partner,1,https://www.theweeklydrop.com/,weeklydrop-logo-mini.png,
465,1,soul.media,2024,Silver,1,https://www.soul.media,Group 60.png,
466,1,Unic,2024,Silver,1,https://www.unic.com,Unic_logo.png,
467,1,Happy Coding,2024,Silver,1,https://www.happycoding.ch,happycoding_logo.png,
468,1,MD Systems,2024,Silver,1,https://www.md-systems.ch/,md-systems_logo.png,
474,1,Helga,2024,Silver,1,https://www.helga.ch/,helga-logo.png,
475,1,Tag1 Consulting,2024,Silver,1,https://www.tag1consulting.com/,tag1-logo.png,
383,1,Platform.sh,2022,Diamond,1,https://platform.sh/,platform-sh-logo.png,
384,1,Infomaniak,2022,Gold,1,https://www.infomaniak.com,logo_infomaniak_bleu_0.png,
417,1,amazee.io,2022,Gold,1,https://www.amazee.io/,amazeeio.png,
22,1,Liip - 2022,2022,Silver,1,https://www.liip.ch/,liip-logo.png,
26,1,MD Systems 2022,2022,Silver,1,https://www.md-systems.ch/,md-systems-logo.png,
89,1,soul.media 2022,2022,Silver,1,https://www.soul.media,soulmedia_logo_black.png,
385,1,iQual,2022,Silver,1,https://www.iqual.ch/de/webagentur,iqual_logo.png,
386,1,netnode,2022,Silver,1,https://www.netnode.ch/,netnode-logo.png,
387,1,Unic 2022,2022,Silver,1,https://www.unic.com/,unic-logo.png,
389,1,LakeDrops,2022,Silver,1,https://www.lakedrops.com,lakedrops-logo.png,
390,1,Cyon,2022,Silver,1,https://www.cyon.ch/,cyon-logo.png,
392,1,Happy Coding 2022,2022,Silver,1,https://www.happycoding.ch/,logo-happy-coding.png,
382,1,Hostpoint,2022,Silver,3,https://www.hostpoint.ch/,hostpoint-logo-blue_0_0.png,
169,1,Infomaniak,2019,Diamond,1,https://www.infomaniak.com,logo_infomaniak_bleu.png,
8,1,Platform.sh,2019,Gold,2,https://platform.sh/,logo-dark-2x.png,
2,1,Amazee Labs,2019,Gold,3,http://www.amazeelabs.com/,amazee-labs-logo-grey.png,
150,1,TheWeeklyDrop - 2019,2019,Media partner,1,http://www.theweeklydrop.com/,twd-logo.png,
23,1,Gridonic,2019,Silver,2,https://gridonic.ch/,gridonic_logo.png,
19,1,Hostpoint,2019,Silver,3,https://www.hostpoint.ch/,hostpoint-logo-blue_0.png,
86,1,Wondrous,2019,Silver,4,https://www.wearewondrous.com,wondrous-logo--iron-man.png,"As to agency, we consult, design and realize digital brand experiences and innovative web applications. Work with us and strengthen your company and it's brands in today's world."
120,1,Happy Coding 2019,2019,Silver,5,https://www.happycoding.ch/,logo-happy-coding-RGB-400px.png,
20,1,Previon plus,2019,Silver,6,http://previon.ch/,previon_plus.png,
90,1,JetBrains,2017,Contribution Sponsor,1,https://www.jetbrains.com/,logo_JetBrains_1.png,
